mark_category	quadrant	expected_n_genes
K27ac only	Q1	723.985079331722
Bivalent	Q1	94.1231480508564
K27me3 only	Q1	325.784806136388
Neither	Q1	470.106966481034
K27ac only	Q2	436.005884207208
Bivalent	Q2	56.6838289376904
K27me3 only	Q2	196.197541241988
Neither	Q2	283.112745613113
K27ac only	Q3	1663.28170642009
Bivalent	Q3	216.23831039193
K27me3 only	Q3	748.457286960176
Neither	Q3	1080.0226962278
K27ac only	Q4	1445.72733004098
Bivalent	Q4	187.954712619523
K27me3 only	Q4	650.560365661448
Neither	Q4	938.75759167805
