mark	mch_direction	mark_direction	observed	expected	oe_ratio	n_genes	fisher_or	fisher_ci_lower	fisher_ci_upper	fisher_p
ATAC-seq	mCH Hyper	ATAC Down	68	26.359096313912	2.57975460122699	841	0.15622986606879	0.102516832438592	0.237361084569721	2.47234752626708e-19
ATAC-seq	mCH Hyper	ATAC Up	95	136.640903686088	0.695253013096637	841	0.15622986606879	0.102516832438592	0.237361084569721	2.47234752626708e-19
ATAC-seq	mCH Hypo	ATAC Down	68	109.640903686088	0.620206489675516	841	0.15622986606879	0.102516832438592	0.237361084569721	2.47234752626708e-19
ATAC-seq	mCH Hypo	ATAC Up	610	568.359096313912	1.07326513106969	841	0.15622986606879	0.102516832438592	0.237361084569721	2.47234752626708e-19
H3K27ac	mCH Hyper	K27ac Gained	34	157.762711864407	0.215513536742587	1062	0.060232499708621	0.0395844201412911	0.089320951011776	4.39260219952453e-68
H3K27ac	mCH Hyper	K27ac Lost	278	154.237288135593	1.80241758241758	1062	0.060232499708621	0.0395844201412911	0.089320951011776	4.39260219952453e-68
H3K27ac	mCH Hypo	K27ac Gained	503	379.237288135593	1.32634636871508	1062	0.060232499708621	0.0395844201412911	0.089320951011776	4.39260219952453e-68
H3K27ac	mCH Hypo	K27ac Lost	247	370.762711864407	0.666194285714286	1062	0.060232499708621	0.0395844201412911	0.089320951011776	4.39260219952453e-68
H3K27me3	mCH Hyper	K27me3 Gained	101	65.4615384615385	1.54289071680376	624	4.06406026678598	2.6380453620792	6.3655055296319	5.90155213799263e-12
H3K27me3	mCH Hyper	K27me3 Lost	37	72.5384615384615	0.510074231177094	624	4.06406026678598	2.6380453620792	6.3655055296319	5.90155213799263e-12
H3K27me3	mCH Hypo	K27me3 Gained	195	230.538461538462	0.845845845845846	624	4.06406026678598	2.6380453620792	6.3655055296319	5.90155213799263e-12
H3K27me3	mCH Hypo	K27me3 Lost	291	255.461538461538	1.13911472448058	624	4.06406026678598	2.6380453620792	6.3655055296319	5.90155213799263e-12
H2AK119ub	mCH Hyper	K119ub Gained	415	280.148185998978	1.48135886912905	1957	31.1278059387488	16.5768279228193	65.911557548456	8.27273027791439e-72
H2AK119ub	mCH Hyper	K119ub Lost	10	144.851814001022	0.069036070200194	1957	31.1278059387488	16.5768279228193	65.911557548456	8.27273027791439e-72
H2AK119ub	mCH Hypo	K119ub Gained	875	1009.85181400102	0.866463760195924	1957	31.1278059387488	16.5768279228193	65.911557548456	8.27273027791439e-72
H2AK119ub	mCH Hypo	K119ub Lost	657	522.148185998978	1.25826349227475	1957	31.1278059387488	16.5768279228193	65.911557548456	8.27273027791439e-72
