mch_group	n_concordant	n	n_group	pct
mCH Hyper	0	152	642	23.6760124610592
mCH Hyper	1	217	642	33.8006230529595
mCH Hyper	2	191	642	29.7507788161994
mCH Hyper	3	65	642	10.1246105919003
mCH Hyper	4	17	642	2.64797507788162
mCH Hypo	0	3772	4915	76.7446592065107
mCH Hypo	1	943	4915	19.1861648016277
mCH Hypo	2	162	4915	3.29603255340793
mCH Hypo	3	34	4915	0.69175991861648
mCH Hypo	4	4	4915	0.081383519837233
Not Significant	0	12760	15540	82.1106821106821
Not Significant	1	2162	15540	13.9124839124839
Not Significant	2	517	15540	3.32689832689833
Not Significant	3	93	15540	0.598455598455598
Not Significant	4	8	15540	0.0514800514800515
