gene_name	mecp2_fold	mecp2_fdr	mecp2_n_peaks	mecp2db_fold	mecp2db_fdr	mecp2db_n_peaks
0610009E02Rik	0.0625297305487823	0.718323739193334	1	0.023639555	0.937779745	1
0610038B21Rik	-0.0255065785527032	0.908788257694633	29	-0.074018826	0.739187215	3
0610040F04Rik	0.717346256557242	0.0447887852951602	19	0.023186367	0.938492949	4
0610040J01Rik	-0.01809960845032	0.937127480678905	10	-0.058364766	0.811852365	1
1110002E22Rik	-0.179409503738846	0.43805806177125	12	0.080082739	0.723303077	5
1110002J07Rik	-0.0138198621387724	0.952184298746302	52	0.143258581	0.459305977	15
1110002L01Rik	-0.204144218438176	0.374250835320007	1	-0.272727262	0.218782107	1
1110004F10Rik	-0.0276974024316936	0.887240652372053	3	-0.024932455	0.932489266	1
1110019D14Rik	0.0105862676077993	0.972495269935033	11	0.296647083	0.245828166	5
1110032F04Rik	-0.159291148114176	0.503221765776785	11	-0.200654244	0.368911059	2
1110059E24Rik	0.0105800755715664	0.96161700243249	10	0.007578168	0.984225184	1
1190028D05Rik	-0.0299284959492935	0.887661537459182	13	2.076281084	1.04e-06	1
1500009L16Rik	0.0127033423349649	0.964830241704903	28	-0.047796458	0.849752085	3
1500015L24Rik	0.0323186700519686	0.887240652372053	8	0.178354377	0.379739164	3
1600002D24Rik	-0.121530155648786	1	38	-0.044736683	0.861267622	14
1600014C10Rik	0.0128533613783884	0.953222226949511	12	0.038819184	0.886270827	3
1600027J07Rik	0.0344555893513655	0.893939123002738	25	-0.029353346	0.917771412	2
1700001G11Rik	0.0416037247393116	0.869594461660998	4	0.021581212	0.944371381	1
1700001J03Rik	0.0358290577244822	0.867729246601066	9	-0.051513606	0.833914922	1
1700001K23Rik	-0.0307070102067162	0.886432233405088	11	-0.029960206	0.915840416	1
1700001O22Rik	0.00803504086634857	0.968695311625358	13	0.030010231	0.91578628	1
1700003F12Rik	0.087072367694919	0.650000529453903	1	0.052794805	0.835675728	1
1700003M07Rik	0.0493421039341163	0.812487894512049	9	0.061426608	0.801935969	3
1700006F04Rik	-0.0224923105273398	1	41	-0.066336185	0.773395515	4
1700006H21Rik	-0.033319967057375	0.866020918539146	27	-0.030524234	0.914769273	8
1700008C04Rik	-0.0151642160900367	0.952483483959233	24	-0.055050025	0.820226061	3
1700008K24Rik	0.0254005437138666	0.911271467902251	46	0.016326382	0.960368716	25
1700008O03Rik	0.136691834188518	0.549349057829352	8	-0.026924793	0.9270933	1
1700008P02Rik	0.220423002425494	1	6	-0.021639294	0.943962942	1
1700009N14Rik	0.0241450485314118	0.924630270408645	21	1.213268677	6.26e-07	4
1700010I02Rik	0.290664786137038	0.315151061152178	4	0.23765149	0.315001305	3
1700010I14Rik	-0.0109358157696343	0.965707926438604	16	-0.105622067	0.62600857	8
1700010K23Rik	0.685205305872408	1	8	1.671114833	2.26e-07	2
1700011B04Rik	-0.192291451510488	0.383691789211659	3	-0.072241695	0.754283895	3
1700011L22Rik	-0.10224888319997	0.647896453896231	8	0.018444912	0.952909973	2
1700012A03Rik	0.035815175860583	0.887518367723202	53	0.020181675	0.947861776	10
1700012C14Rik	-0.0692914944591561	0.722294746258457	10	0.677357941	0.017717899	3
1700012D16Rik	0.0157483867302526	0.944432161393472	48	0.640462572	0.041797019	16
1700013H16Rik	-0.0153058639404051	0.953036112975076	2	0.025361944	0.938791902	2
1700016G22Rik	0.0346032086186291	0.852132329957654	15	1.360572908	8.28e-06	2
1700016K05Rik	-0.0570855024298149	0.807711271338377	15	-0.049490938	0.844091468	2
1700016L21Rik	-0.077440303752193	1	17	0.381289295	0.158943513	6
1700017B05Rik	0.0045915790976692	0.987666748270212	11	0.030151405	0.919048946	4
1700017G19Rik	-0.0924927371162332	0.643203637848263	39	0.180929284	0.382287951	2
1700017J07Rik	0.0353577758909044	0.843716443902247	40	0.009240604	0.979460271	1
1700017L05Rik	0.0133011280400602	1	46	0.107426449	0.578782935	3
1700017N19Rik	0.26347695168054	0.302554853007196	2	1.620847188	5.26e-11	1
1700018B08Rik	0.0297899758933663	0.880835710249822	52	-0.021101112	0.945182306	11
1700019A02Rik	-0.0054989870003547	0.983930274459243	3	1.17973055	0.00041711	1
1700019C18Rik	-0.0022352296768039	0.989289284374341	26	0.070672436	0.771687887	13
1700019D03Rik	-0.0227370580407375	0.925750921419538	10	1.36255742	1.48e-05	1
1700019E08Rik	0.305036151371427	0.272722154767513	35	0.497597222	0.05293508	2
1700019G24Rik	0.0655502789226467	0.761601122251733	15	0.369798394	0.093050057	1
1700020L24Rik	-0.0708143430199769	0.73617961196985	4	-0.142916622	0.522085048	2
1700020M21Rik	0.0551390546521173	0.811871742072608	40	0.162876787	0.469930865	14
1700021F02Rik	0.0692409500199954	1	4	0.085582538	0.71281736	1
1700022A21Rik	0.0696717010072005	0.732885733734431	6	0.088647242	0.682947625	1
1700023F02Rik	-0.0126604579961094	0.965415016192819	60	0.165979816	0.479577432	18
1700024G13Rik	-0.013871722380756	1	8	-0.013938381	0.966823515	4
1700025C18Rik	-0.157180567713719	0.536745263289195	16	-0.12474739	0.531798559	4
1700025G04Rik	-0.00841067391979247	1	63	0.004922095	0.990205127	12
1700025N23Rik	-0.111785599735829	0.637446316078487	13	-0.283811333	0.247999384	8
1700026J14Rik	0.0373080784044634	0.861693830736226	2	-0.053997105	0.828881523	1
1700028D13Rik	-0.031548650700151	0.861699425622348	47	-0.035084035	0.897255578	3
1700028E10Rik	-0.15872264159605	0.423443369506892	1	-0.129589178	0.530408233	1
1700028M03Rik	0.033252183879037	0.898840525754694	21	-0.063171829	0.788799299	1
1700028P15Rik	0.00303974717140173	0.990790952974961	64	0.057751014	0.810887936	3
1700029F12Rik	0.0104381937424395	1	5	0.217400891	0.308606928	1
