body_state	promoter_state	chromatin_group	n_genes	percent_of_genes
Active	Active_Promoter	Euchromatin	4640	22.0197418375095
Enhancer_Marked	Unmarked_Promoter	Euchromatin	4126	19.5804859529233
Active	Unmarked_Promoter	Euchromatin	1897	9.00246772968869
Enhancer_Marked	Active_Promoter	Euchromatin	1319	6.25949126803341
Enhancer_Marked	Repressed_Promoter	Euchromatin	22	0.104403948367502
Active	Bivalent_Promoter	Euchromatin	12	0.0569476082004556
Active	Repressed_Promoter	Euchromatin	6	0.0284738041002278
Enhancer_Marked	Bivalent_Promoter	Euchromatin	3	0.0142369020501139
Polycomb	Repressed_Promoter	Heterochromatin	2554	12.1203492786636
Polycomb	Unmarked_Promoter	Heterochromatin	568	2.69552012148823
Mixed	Repressed_Promoter	Heterochromatin	175	0.830485952923311
Polycomb	Bivalent_Promoter	Heterochromatin	149	0.70709946848899
Mixed	Bivalent_Promoter	Heterochromatin	122	0.578967350037965
Mixed	Unmarked_Promoter	Heterochromatin	113	0.536256643887623
Mixed	Active_Promoter	Heterochromatin	109	0.517274107820805
Polycomb	Active_Promoter	Heterochromatin	51	0.242027334851936
Unmarked	Unmarked_Promoter	Neither	5130	24.3451025056948
Unmarked	Active_Promoter	Neither	59	0.279992406985573
Unmarked	Repressed_Promoter	Neither	17	0.0806757782839787
