mch_diff_pct	log10_gene_length	probability	ci_low	ci_high	gene_length_bp
-2.52267131250486	4.35262622142074	2.23052219671313e-06	8.07366658335592e-07	6.16227675214574e-06	22522.9992008169
-2.50328509134109	4.35262622142074	2.35266088688248e-06	8.5665997397682e-07	6.46113855747267e-06	22522.9992008169
-2.48389887017732	4.35262622142074	2.48148761747561e-06	9.08960902451464e-07	6.77450925202922e-06	22522.9992008169
-2.46451264901355	4.35262622142074	2.61736860870147e-06	9.64452794852669e-07	7.10309417296268e-06	22522.9992008169
-2.44512642784978	4.35262622142074	2.760690133853e-06	1.02333016695493e-06	7.44763301342618e-06	22522.9992008169
-2.42574020668601	4.35262622142074	2.91185961732828e-06	1.0857993779904e-06	7.8089015006998e-06	22522.9992008169
-2.40635398552224	4.35262622142074	3.0713067927718e-06	1.15207935060185e-06	8.18771315661798e-06	22522.9992008169
-2.38696776435846	4.35262622142074	3.23948492462773e-06	1.22240233446223e-06	8.58492114436594e-06	22522.9992008169
-2.36758154319469	4.35262622142074	3.41687209657645e-06	1.29701471620075e-06	9.00142020590866e-06	22522.9992008169
-2.34819532203092	4.35262622142074	3.60397257051617e-06	1.37617787843404e-06	9.43814869453012e-06	22522.9992008169
-2.32880910086715	4.35262622142074	3.80131821995189e-06	1.46016911086954e-06	9.89609070718326e-06	22522.9992008169
-2.30942287970338	4.35262622142074	4.00947004186497e-06	1.54928257662641e-06	1.03762783215855e-05	22522.9992008169
-2.29003665853961	4.35262622142074	4.2290197513598e-06	1.64383033710813e-06	1.08797939432417e-05	22522.9992008169
-2.27065043737584	4.35262622142074	4.46059146361942e-06	1.74414343896165e-06	1.14077727678363e-05	22522.9992008169
-2.25126421621207	4.35262622142074	4.70484346794937e-06	1.85057306686959e-06	1.19614053647071e-05	22522.9992008169
-2.2318779950483	4.35262622142074	4.96247009895119e-06	1.96349176614713e-06	1.25419403874003e-05	22522.9992008169
-2.21249177388453	4.35262622142074	5.23420371014268e-06	2.08329473935336e-06	1.31506874176088e-05	22522.9992008169
-2.19310555272076	4.35262622142074	5.52081675563288e-06	2.21040122137895e-06	1.37890199491082e-05	22522.9992008169
-2.17371933155699	4.35262622142074	5.82312398576691e-06	2.3452559377396e-06	1.44583785186412e-05	22522.9992008169
-2.15433311039322	4.35262622142074	6.14198476297909e-06	2.48833065108752e-06	1.51602739910483e-05	22522.9992008169
-2.13494688922945	4.35262622142074	6.47830550443477e-06	2.64012580125356e-06	1.58962910063118e-05	22522.9992008169
-2.11556066806567	4.35262622142074	6.83304225840059e-06	2.80117224444965e-06	1.66680915965625e-05	22522.9992008169
-2.0961744469019	4.35262622142074	7.20720342166306e-06	2.97203309759821e-06	1.74774189815117e-05	22522.9992008169
-2.07678822573813	4.35262622142074	7.60185260571615e-06	3.15330569411132e-06	1.83261015511892e-05	22522.9992008169
-2.05740200457436	4.35262622142074	8.01811165986004e-06	3.34562365781945e-06	1.92160570453266e-05	22522.9992008169
-2.03801578341059	4.35262622142074	8.45716385979963e-06	3.54965910214982e-06	2.01492969391889e-05	22522.9992008169
