ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002227	innate immune response in mucosa	34	-0.713220432452051	-2.2488322551419	1.3890072530222e-08	2.39742651871631e-05	2.34571645922661e-05	936	tags=35%, list=5%, signal=34%	503491/12796/13587/246079/93719/100503970/100041811/503847/54159/93726/246081/13218
GO:0050913	sensory perception of bitter taste	52	-0.635734273886087	-2.19266371419206	1.01997553539651e-08	2.39742651871631e-05	2.34571645922661e-05	1574	tags=44%, list=8%, signal=41%	18796/353166/387344/353167/387514/239766/387351/667992/18716/57253/387354/353165/387512/57254/387353/387616/353148/387342/387339/387349/353325/574417/387341
GO:0042742	defense response to bacterium	365	-0.402348534493546	-1.66130629846085	1.36290295644641e-08	2.39742651871631e-05	2.34571645922661e-05	4251	tags=34%, list=22%, signal=27%	329547/12362/13214/21425/259301/22242/58217/13204/66438/232836/18173/17523/81007/240913/12051/67135/19194/76113/83492/107831/22249/246727/76758/117149/22041/27007/68652/11628/71648/19946/81897/16171/2
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	48	-0.652323538035334	-2.22410034787679	1.87832635660399e-08	2.43149346862386e-05	2.37904861956184e-05	1574	tags=48%, list=8%, signal=44%	18796/353166/387344/353167/387514/239766/387351/667992/18716/57253/387354/353165/387512/57254/387353/387616/353148/387342/387339/387349/353325/574417/387341
GO:0050830	defense response to Gram-positive bacterium	157	-0.478163811970787	-1.87504413449531	2.82817075739576e-08	2.92885363635904e-05	2.86568123270437e-05	2351	tags=28%, list=12%, signal=25%	12363/18778/101613/15039/15018/14469/66824/11535/11731/17916/219033/17194/497071/69146/17393/15043/503491/12796/224761/50931/20755/399549/21926/19695/12273/14972/224754/67067/100042514/56519/17969/135
GO:0050912	detection of chemical stimulus involved in sensory perception of taste	52	-0.623461764557075	-2.15033551671528	4.12029589897299e-08	3.55581536081369e-05	3.47912002837842e-05	1574	tags=44%, list=8%, signal=41%	18796/353166/387344/353167/387514/239766/387351/667992/18716/57253/387354/353165/387512/57254/387353/387616/353148/387342/387339/387349/353325/574417/387341
GO:0019730	antimicrobial humoral response	154	-0.475525614741175	-1.86221460408028	1.91315105142775e-07	0.000141518516347041	0.00013846610542138	2865	tags=34%, list=15%, signal=29%	20309/19946/16171/19692/209232/20299/18778/15945/15039/15018/71856/20300/629754/629761/11535/11731/19693/22373/94175/53603/219033/17393/15043/19041/546038/503491/408190/12796/224761/59032/14825/20311/
GO:0050907	detection of chemical stimulus involved in sensory perception	59	-0.589435663271579	-2.07430481087816	2.88298100617319e-07	0.00018660094562456	0.0001825761524041	1701	tags=41%, list=9%, signal=37%	665378/18796/353166/387344/353167/387514/239766/387351/667992/18716/57253/387354/353165/387512/57254/387353/387616/353148/387342/387339/387349/353325/574417/387341
GO:0006959	humoral immune response	258	-0.410190596388375	-1.66907119442783	7.39440336345133e-07	0.000425424673510567	0.000416248694599898	2865	tags=28%, list=15%, signal=24%	20309/19946/16171/19692/12259/209232/20299/11537/18778/15945/15039/15018/14134/17221/12260/71856/20300/629754/12902/629761/11535/11731/19693/387510/12775/22373/94175/18636/53603/219033/17194/14962/173
GO:0050909	sensory perception of taste	71	-0.557981807160942	-2.02323155912402	1.08405551051263e-06	0.000561323943343439	0.000549216754957609	1574	tags=34%, list=8%, signal=31%	18796/20276/353166/387344/353167/387514/239766/387351/667992/18716/57253/387354/353165/387512/57254/387353/387616/353148/387342/387339/387349/353325/574417/387341
GO:0009593	detection of chemical stimulus	92	-0.513389885294895	-1.91066344977343	1.67921341976738e-06	0.000790451553414138	0.000773402314769418	1724	tags=38%, list=9%, signal=35%	20191/387345/81897/12353/171209/12363/12315/100502876/665378/18796/353166/387344/353167/21897/387514/239766/387351/667992/18716/19695/57253/83433/387354/353165/387512/57254/387353/387616/353148/387342
GO:0002385	mucosal immune response	47	-0.578443895989005	-1.97176121601905	1.18928785460384e-05	0.00513177709261556	0.00502108986334059	936	tags=26%, list=5%, signal=24%	503491/12796/13587/246079/93719/100503970/100041811/503847/54159/93726/246081/13218
GO:1990868	response to chemokine	75	-0.510922176542844	-1.85957313718494	1.42288791348595e-05	0.00526265258287875	0.00514914250196081	4309	tags=44%, list=23%, signal=34%	20295/12767/80901/12774/108737/16948/11848/12772/226178/20309/17480/20299/20304/15945/20300/54199/232983/20293/56221/17300/14825/20311/23991/17329/75687/12770/541307/83433/20310/330122/20303/56744/133
