gene_name	chr	is_neuronal	stratum_top_quartile
F630206G17Rik	chr11	FALSE	FALSE
Ldlrap1	chr4	FALSE	TRUE
Gm11149	chr9	FALSE	FALSE
Dnajc3	chr14	FALSE	FALSE
Rsph3b	chr17	FALSE	FALSE
Rnaset2a	chr17	FALSE	TRUE
Fam174b	chr7	FALSE	FALSE
Gm10714	chr2	FALSE	FALSE
Gm10785	chr16	FALSE	FALSE
Gm10556	chr18	FALSE	TRUE
Gm10684	chr9	FALSE	FALSE
Gm10415	chr6	FALSE	TRUE
Gm10790	chr13	FALSE	FALSE
Gm14812	chrX	FALSE	TRUE
Gm12298	chr11	FALSE	FALSE
Gm10732	chr13	FALSE	FALSE
Gm10637	chr8	FALSE	TRUE
Gm10432	chr12	FALSE	TRUE
Gm10373	chr15	FALSE	FALSE
Ctxnd1	chr7	FALSE	FALSE
E330012B07Rik	chr6	FALSE	FALSE
Mthfsl	chr9	FALSE	FALSE
Gm2516	chr8	FALSE	FALSE
3830408C21Rik	chr13	FALSE	FALSE
Mndal	chr1	FALSE	FALSE
Tmem181c-ps	chr17	FALSE	TRUE
Potefam3a	chr8	FALSE	FALSE
Wincr1	chr4	FALSE	FALSE
Gm2897	chr14	FALSE	FALSE
Mroh2a	chr1	FALSE	TRUE
Zfp980	chr4	FALSE	FALSE
Gm3402	chr5	FALSE	FALSE
Gm12371	chr4	FALSE	FALSE
Gm3704	chr5	FALSE	FALSE
Smim17	chr7	FALSE	FALSE
Gm4146	chr18	FALSE	FALSE
Rex2	chr4	FALSE	FALSE
5330434G04Rik	chrX	FALSE	FALSE
3110099E03Rik	chr2	FALSE	FALSE
AU016765	chr17	FALSE	TRUE
Srcap	chr7	FALSE	FALSE
Gm4710	chr17	FALSE	FALSE
Ddx43	chr9	FALSE	FALSE
Mir683-2	chr13	FALSE	FALSE
Vmn2r2	chr3	FALSE	FALSE
LOC100125594	chr2	FALSE	FALSE
Pafah2	chr4	FALSE	FALSE
Zmym6	chr4	FALSE	FALSE
Akna	chr4	TRUE	TRUE
BC048559	chr10	FALSE	FALSE
H6pd	chr4	FALSE	TRUE
Rusc2	chr4	FALSE	FALSE
Stx12	chr4	TRUE	FALSE
Gon7	chr12	FALSE	FALSE
5830417I10Rik	chr3	FALSE	FALSE
Actc1dt	chr2	FALSE	TRUE
Ino80dos	chr1	FALSE	FALSE
Bsdc1	chr4	FALSE	FALSE
Gm15997	chr5	FALSE	TRUE
C130060C02Rik	chr19	FALSE	FALSE
Rubcn	chr16	FALSE	FALSE
BC065403	chr9	FALSE	FALSE
Gm19410	chr8	FALSE	TRUE
Ccdc13	chr9	FALSE	TRUE
Gm12130	chr11	FALSE	FALSE
Gm16551	chr9	FALSE	TRUE
Gm19522	chr16	FALSE	FALSE
Gm19583	chr5	FALSE	TRUE
Btbd8	chr5	FALSE	FALSE
Gm19619	chr5	FALSE	FALSE
Gm15638	chr16	FALSE	FALSE
Snhg4	chr18	FALSE	FALSE
Gm19689	chr17	FALSE	FALSE
Platr22	chr1	FALSE	FALSE
Nuggc	chr14	FALSE	FALSE
Gm19784	chr18	FALSE	FALSE
A330076C08Rik	chr13	FALSE	TRUE
E330011O21Rik	chr16	FALSE	TRUE
