gene_name	chr	is_neuronal	stratum_top_quartile
Krtap12-22	chr10	FALSE	FALSE
Wfdc17	chr11	FALSE	FALSE
Tmsb15b2	chrX	FALSE	FALSE
Vmn1r223	chr13	FALSE	FALSE
Gm16982	chr7	FALSE	TRUE
Gm15612	chr6	FALSE	TRUE
Mir223hg	chrX	FALSE	FALSE
Zfp389	chr13	FALSE	FALSE
Gm10512	chr17	FALSE	FALSE
Gm12522	chr3	FALSE	TRUE
Dnmt3aos	chr12	FALSE	FALSE
Gm16008	chr4	FALSE	FALSE
Ramacl	chr13	FALSE	FALSE
Gm12863	chr4	FALSE	FALSE
Gm10710	chr3	FALSE	TRUE
Gm10768	chr19	FALSE	FALSE
Gm10538	chr1	FALSE	FALSE
Mirt2	chr15	FALSE	FALSE
Tmem51os1	chr4	FALSE	FALSE
Gm10825	chr10	FALSE	FALSE
Or10h1b	chr17	TRUE	FALSE
Or10h1	chr17	TRUE	FALSE
Isg15	chr4	FALSE	FALSE
Mup9	chr4	FALSE	FALSE
Gm1995	chr12	FALSE	FALSE
Mup10	chr4	FALSE	FALSE
Mup11	chr4	FALSE	FALSE
Eif1ad3	chr12	FALSE	FALSE
Mup12	chr4	FALSE	FALSE
Gm2027	chr12	FALSE	FALSE
Mup13	chr4	FALSE	FALSE
Mup14	chr4	FALSE	FALSE
Mup15	chr4	FALSE	FALSE
Gm13580	chr2	FALSE	FALSE
Mup16	chr4	FALSE	FALSE
Mup17	chr4	FALSE	FALSE
Gm2109	chr9	FALSE	TRUE
Gm2176	chr18	FALSE	FALSE
Mageb16-ps1	chrX	FALSE	FALSE
Gm15706	chr6	FALSE	FALSE
Msmp	chr4	FALSE	FALSE
Hrct1	chr4	FALSE	FALSE
Cldn24	chr8	FALSE	FALSE
D5Ertd605e	chr5	FALSE	FALSE
Snhg12	chr4	FALSE	FALSE
Gfy	chr7	TRUE	TRUE
Smim38	chr7	FALSE	TRUE
Krtap6-3	chr16	FALSE	FALSE
Gm2663	chr6	FALSE	FALSE
Krtap6-7	chr16	FALSE	FALSE
Prss3l	chr6	FALSE	FALSE
Krtap4-25	chr11	FALSE	FALSE
Or13c7c	chr4	TRUE	FALSE
Krtap4-22	chr11	FALSE	FALSE
Krtap10-20	chr10	FALSE	TRUE
Gm12409	chr4	FALSE	TRUE
Fancf	chr7	FALSE	TRUE
Gm15506	chr7	FALSE	FALSE
Gm11627	chr11	FALSE	FALSE
Gm9767	chr10	FALSE	TRUE
Rpl14-ps1	chr7	FALSE	FALSE
Gm13286	chr4	FALSE	TRUE
Iqcf6	chr9	FALSE	FALSE
Or52e19	chr7	FALSE	FALSE
Krtap10-21	chr10	FALSE	FALSE
Krtap10-22	chr10	FALSE	FALSE
Krtap10-23	chr10	FALSE	FALSE
Snhg15	chr11	FALSE	FALSE
Krtap10-24	chr10	FALSE	TRUE
Krtap2-22	chr11	FALSE	FALSE
Myef2l	chr3	FALSE	TRUE
Ly6c2	chr15	TRUE	FALSE
Gm3404	chr5	FALSE	FALSE
Gm3409	chr5	FALSE	FALSE
Mup7	chr4	FALSE	FALSE
Mup8	chr4	FALSE	FALSE
Defa35	chr8	FALSE	FALSE
Gm15217	chr14	FALSE	TRUE
Defa41	chr8	FALSE	FALSE
Defa40	chr8	FALSE	FALSE
Gm3519	chr5	FALSE	FALSE
Defa27	chr8	FALSE	FALSE
Defa32	chr8	FALSE	FALSE
Defa34	chr8	FALSE	FALSE
Sap18b	chr14	FALSE	FALSE
Oaz1-ps	chr10	FALSE	FALSE
Gm3646	chr1	FALSE	FALSE
Reno1	chr11	TRUE	TRUE
Mnd1-ps	chr14	FALSE	FALSE
Vmn1r79	chr7	FALSE	FALSE
Gm16523	chr2	FALSE	FALSE
Rbakdn	chr5	FALSE	FALSE
Gm4013	chr18	FALSE	FALSE
Eif3j2	chr2	FALSE	FALSE
Gm10267	chr18	FALSE	FALSE
H2al1a	chrX	FALSE	FALSE
H2al1g	chrX	FALSE	FALSE
Gm15760	chr16	FALSE	FALSE
Zfp696	chr7	FALSE	FALSE
Spopfm2	chr3	FALSE	FALSE
Gm4285	chr14	FALSE	FALSE
Or10u4	chr10	TRUE	FALSE
Alyreffm9	chr10	FALSE	FALSE
Inafm2	chr2	FALSE	TRUE
Gm4349	chr3	FALSE	FALSE
4732414G09Rik	chr11	FALSE	FALSE
Or10h5	chr17	TRUE	FALSE
Gm4532	chr7	FALSE	FALSE
Krtap5-20	chr7	FALSE	FALSE
Gm10584	chr7	FALSE	TRUE
Gm4598	chr7	FALSE	FALSE
Rps27rt	chr3	FALSE	FALSE
Tgfbr3l	chr8	FALSE	TRUE
Gm15743	chr16	FALSE	TRUE
Mup18	chr4	FALSE	FALSE
9330020H09Rik	chr15	FALSE	FALSE
Yy2	chrX	FALSE	FALSE
Kti12	chr4	FALSE	FALSE
Gm10400	chr6	FALSE	FALSE
A830035O19Rik	chr9	FALSE	FALSE
A230020J21Rik	chr1	FALSE	TRUE
Phtf1os	chr3	FALSE	FALSE
Frs3os	chr17	FALSE	FALSE
A030001D20Rik	chr7	FALSE	FALSE
Esp4	chr17	FALSE	FALSE
Sco2	chr15	FALSE	FALSE
Selenok-ps1	chr11	FALSE	FALSE
Gm10364	chr14	FALSE	FALSE
AI507597	chr4	FALSE	TRUE
Gm10941	chr10	FALSE	TRUE
Mup19	chr4	FALSE	FALSE
Krtap10-4	chr10	FALSE	FALSE
Snord19	chr14	FALSE	FALSE
Gm14379	chrX	FALSE	FALSE
Gm15881	chr8	FALSE	FALSE
Defa2	chr8	FALSE	FALSE
Gm17455	chr10	FALSE	TRUE
D030025P21Rik	chr12	FALSE	TRUE
Vmn1r2	chr4	FALSE	FALSE
Vmn1r3	chr4	FALSE	FALSE
Vmn1r238	chr18	FALSE	FALSE
Vmn1r196	chr13	FALSE	FALSE
Vmn1r221	chr13	FALSE	FALSE
Pate8	chr9	FALSE	FALSE
Pate1	chr9	FALSE	FALSE
Mir1901	chr18	FALSE	TRUE
Mir1949	chr18	FALSE	FALSE
AW011738	chr4	FALSE	FALSE
Krtap9-20	chr11	FALSE	FALSE
Tomm6os	chr17	FALSE	FALSE
Gm18409	chr10	FALSE	TRUE
AA543401	chr9	FALSE	FALSE
Mir3072	chr12	FALSE	TRUE
Tex50	chr1	FALSE	FALSE
1700007L15Rik	chr16	FALSE	FALSE
Gm16617	chr14	FALSE	TRUE
Krtap2-20	chr11	FALSE	FALSE
Gm19395	chr10	FALSE	FALSE
Krtap10-33	chr10	FALSE	TRUE
Gm15972	chr18	FALSE	TRUE
Krtap4-27	chr11	FALSE	FALSE
Or2t49	chr11	TRUE	FALSE
Gm38423	chr4	FALSE	FALSE
Gm4814	chr13	FALSE	TRUE
Gm3336	chr8	FALSE	FALSE
BC037704	chr19	FALSE	TRUE
Ccdc179	chr7	FALSE	FALSE
2610016A17Rik	chr19	FALSE	TRUE
Gm19557	chr19	FALSE	FALSE
Gm13293	chr2	FALSE	FALSE
1700048M11Rik	chr16	FALSE	FALSE
Gm19582	chr1	FALSE	FALSE
2810013P06Rik	chr8	FALSE	FALSE
Gm11423	chr11	FALSE	FALSE
Gm9895	chr19	FALSE	FALSE
Zfp648	chr1	FALSE	TRUE
Tmem95	chr11	FALSE	FALSE
Tpbgl	chr7	FALSE	TRUE
Krtap10-34	chr10	FALSE	TRUE
4833438C02Rik	chr19	FALSE	TRUE
Gm19710	chr3	FALSE	FALSE
Gm15867	chr1	FALSE	TRUE
A930016O22Rik	chr7	FALSE	FALSE
Gm11827	chr4	FALSE	FALSE
5031434C07Rik	chr6	FALSE	FALSE
Gm16861	chr16	FALSE	FALSE
Gm13056	chr4	FALSE	FALSE
Gm16548	chr1	FALSE	FALSE
2410022M11Rik	chr14	FALSE	FALSE
Gm19935	chr8	FALSE	TRUE
Hotair	chr15	FALSE	TRUE
Gm5901	chr7	FALSE	FALSE
Gm17308	chr3	FALSE	FALSE
Pet100	chr8	FALSE	FALSE
Tpsab1	chr17	FALSE	FALSE
Smpd5	chr15	FALSE	TRUE
Fcor	chr8	FALSE	TRUE
Gm12167	chr11	FALSE	FALSE
1810008I18Rik	chr7	FALSE	FALSE
Gm53064	chrX	FALSE	FALSE
Gm20036	chr12	FALSE	FALSE
Ccer2	chr7	FALSE	FALSE
