gene_name	chr	is_neuronal_and_mecp2_up	k27ac_remodeled
Auts2	chr5	FALSE	TRUE
Csmd2	chr4	FALSE	TRUE
Arhgap26	chr18	FALSE	TRUE
Rasgef1b	chr5	FALSE	TRUE
Lrrc49	chr9	FALSE	FALSE
Emcn	chr3	FALSE	TRUE
Slc13a1	chr6	FALSE	TRUE
Fgf1	chr18	FALSE	TRUE
Runx1t1	chr4	FALSE	TRUE
Trpm3	chr19	FALSE	TRUE
Pcdh9	chr14	FALSE	TRUE
Cog5	chr12	FALSE	TRUE
Cadps	chr14	FALSE	FALSE
Col9a1	chr1	FALSE	TRUE
Gprin3	chr6	TRUE	TRUE
Maml3	chr3	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Nrxn1	chr17	FALSE	TRUE
Erbb4	chr1	FALSE	FALSE
Pcgf5	chr19	FALSE	TRUE
Tenm2	chr11	FALSE	TRUE
Enox1	chr14	FALSE	FALSE
Slc6a6	chr6	FALSE	TRUE
Zfp608	chr18	FALSE	TRUE
Cytip	chr2	FALSE	TRUE
Camta1	chr4	FALSE	FALSE
Lsamp	chr16	FALSE	TRUE
Ctnnd2	chr15	FALSE	FALSE
Patj	chr4	FALSE	FALSE
Btbd3	chr2	FALSE	TRUE
Tjp1	chr7	FALSE	FALSE
Tmem178b	chr6	FALSE	FALSE
Ephb1	chr9	FALSE	TRUE
Plekha6	chr1	FALSE	TRUE
Cerkl	chr2	FALSE	TRUE
Gabbr2	chr4	FALSE	TRUE
Tafa5	chr15	FALSE	TRUE
Gsg1l	chr7	FALSE	TRUE
Tgfbr3	chr5	FALSE	TRUE
Sema6d	chr2	FALSE	TRUE
Cacna1e	chr1	FALSE	TRUE
Msi2	chr11	FALSE	TRUE
Hgd	chr16	FALSE	TRUE
Dlgap4	chr2	FALSE	FALSE
Phex	chrX	FALSE	TRUE
Afap1	chr5	FALSE	TRUE
Ephb2	chr4	FALSE	FALSE
Zbtb20	chr16	FALSE	TRUE
Lrrc4c	chr2	FALSE	TRUE
Megf11	chr9	FALSE	TRUE
Hdac9	chr12	FALSE	FALSE
Cmip	chr8	FALSE	TRUE
Epha3	chr16	TRUE	TRUE
Snca	chr6	TRUE	TRUE
Cacna2d2	chr9	FALSE	TRUE
Pappa2	chr1	FALSE	TRUE
Arhgef38	chr3	FALSE	TRUE
Nos1	chr5	FALSE	TRUE
Lamb3	chr1	TRUE	TRUE
Fam107b	chr2	TRUE	TRUE
Nln	chr13	FALSE	TRUE
Zic4	chr9	TRUE	TRUE
Pag1	chr3	FALSE	TRUE
Fstl4	chr11	FALSE	TRUE
Opcml	chr9	FALSE	TRUE
Kcnq1	chr7	FALSE	TRUE
Heg1	chr16	FALSE	TRUE
Prkce	chr17	TRUE	FALSE
D430041D05Rik	chr2	FALSE	TRUE
Wdr25	chr12	FALSE	TRUE
Ncald	chr15	FALSE	TRUE
Igsf21	chr4	FALSE	FALSE
Med13l	chr5	FALSE	TRUE
Col27a1	chr4	FALSE	TRUE
Phactr3	chr2	FALSE	FALSE
Atxn1	chr13	FALSE	FALSE
Clnk	chr5	FALSE	TRUE
Sez6	chr11	FALSE	TRUE
Akap6	chr12	FALSE	FALSE
Ksr2	chr5	FALSE	FALSE
Cntnap2	chr6	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Nav3	chr10	TRUE	FALSE
Lancl3	chrX	FALSE	TRUE
Tmem150c	chr5	FALSE	FALSE
Ptprn2	chr12	FALSE	TRUE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Slc35g2	chr9	FALSE	FALSE
Angpt1	chr15	FALSE	TRUE
Cacna1c	chr6	FALSE	TRUE
Jph1	chr1	FALSE	TRUE
Acly	chr11	FALSE	FALSE
Vti1a	chr19	FALSE	FALSE
Brpf3	chr17	FALSE	FALSE
Lrba	chr3	FALSE	FALSE
Fam135b	chr15	FALSE	TRUE
Ptk2	chr15	FALSE	FALSE
Dgkb	chr12	FALSE	FALSE
Exoc6b	chr6	FALSE	FALSE
Lingo1	chr9	FALSE	TRUE
Nfib	chr4	FALSE	FALSE
Ssh2	chr11	FALSE	TRUE
Cnpy1	chr5	FALSE	TRUE
Svep1	chr4	FALSE	TRUE
Elmo1	chr13	FALSE	TRUE
Zbtb16	chr9	FALSE	FALSE
Foxp1	chr6	FALSE	FALSE
Plcb4	chr2	TRUE	TRUE
Ppp2r2b	chr18	FALSE	TRUE
Fgf20	chr8	FALSE	FALSE
Grik2	chr10	TRUE	TRUE
Gm973	chr1	FALSE	TRUE
Cux2	chr5	FALSE	FALSE
Kbtbd12	chr6	FALSE	TRUE
Shank2	chr7	FALSE	TRUE
Pde4b	chr4	FALSE	TRUE
Nfia	chr4	FALSE	TRUE
Grxcr1	chr5	FALSE	TRUE
Prune2	chr19	FALSE	TRUE
Pde10a	chr17	FALSE	TRUE
Mad1l1	chr5	FALSE	FALSE
Ptchd4	chr17	FALSE	TRUE
Klhl29	chr12	FALSE	TRUE
Ralgps1	chr2	FALSE	FALSE
Ift57	chr16	FALSE	TRUE
Snph	chr2	FALSE	FALSE
Elp4	chr2	FALSE	TRUE
Dagla	chr19	FALSE	TRUE
Nkain3	chr4	FALSE	TRUE
Kctd8	chr5	FALSE	FALSE
Gtf3c1	chr7	FALSE	FALSE
Sybu	chr15	TRUE	TRUE
Mamdc2	chr19	FALSE	TRUE
Sdk1	chr5	FALSE	FALSE
Prkca	chr11	FALSE	FALSE
Mark1	chr1	FALSE	FALSE
Galnt7	chr8	FALSE	TRUE
Celf4	chr18	FALSE	TRUE
Epha5	chr5	TRUE	TRUE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	FALSE	TRUE
Asb15	chr6	FALSE	TRUE
Cep350	chr1	FALSE	FALSE
Prickle2	chr6	FALSE	FALSE
Npvf	chr6	FALSE	TRUE
Prkcb	chr7	FALSE	FALSE
Adam22	chr5	FALSE	FALSE
Itgb5	chr16	FALSE	TRUE
Tcf12	chr9	FALSE	FALSE
Lpp	chr16	FALSE	TRUE
Astn2	chr4	TRUE	TRUE
Faf1	chr4	FALSE	FALSE
Dip2c	chr13	FALSE	TRUE
Nbea	chr3	TRUE	FALSE
Bahcc1	chr11	FALSE	FALSE
Hcn1	chr13	TRUE	FALSE
Commd1	chr11	FALSE	FALSE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	FALSE	FALSE
Ptprk	chr10	FALSE	FALSE
Zfpm2	chr15	FALSE	FALSE
