gene_name	chr	is_neuronal	stratum_top_quartile
Mdn1	chr4	FALSE	FALSE
Umad1	chr6	FALSE	FALSE
Spink13	chr18	FALSE	FALSE
Gm10635	chr9	FALSE	FALSE
Gm10823	chr16	FALSE	FALSE
Gm10754	chr10	FALSE	FALSE
Cep85l	chr10	TRUE	FALSE
Gm13629	chr2	FALSE	FALSE
Gm2011	chr3	FALSE	FALSE
Lncenc1	chr13	FALSE	TRUE
Ildr2	chr1	FALSE	TRUE
Cbln1os	chr8	FALSE	TRUE
Gm2762	chr13	FALSE	FALSE
Gm3002	chr14	FALSE	FALSE
Gm3020	chr14	FALSE	FALSE
Gm3383	chr14	FALSE	FALSE
Gm10409	chr14	FALSE	FALSE
Gm20878	chr4	FALSE	FALSE
Dynlt2a3	chr17	FALSE	FALSE
Dynlt2a2	chr17	FALSE	FALSE
Gm10863	chr15	FALSE	FALSE
Gm3500	chr14	FALSE	FALSE
Gm10413	chr14	FALSE	FALSE
Gm10408	chr14	FALSE	FALSE
9130019P16Rik	chr6	FALSE	FALSE
Nrg2	chr18	TRUE	TRUE
Gm3772	chr13	FALSE	FALSE
Nhsl2	chrX	FALSE	TRUE
Gm3985	chr8	FALSE	FALSE
Prdm11	chr2	FALSE	TRUE
Vmn2r46	chr7	FALSE	FALSE
LOC100043315	chr15	FALSE	FALSE
Morrbid	chr2	FALSE	TRUE
Hsd3b8	chr3	FALSE	FALSE
Zfp831	chr2	FALSE	FALSE
Ppp4r1l-ps	chr2	FALSE	FALSE
Gm17767	chr1	FALSE	TRUE
Ect2l	chr10	FALSE	FALSE
Cfap43	chr19	TRUE	FALSE
Camta1	chr4	TRUE	TRUE
Gm12296	chr11	FALSE	FALSE
Fam177a2	chr12	FALSE	FALSE
Tdrd7	chr4	FALSE	FALSE
Shoc1	chr4	TRUE	FALSE
Phactr4	chr4	TRUE	FALSE
Spmip2	chr3	FALSE	FALSE
Osbpl9	chr4	FALSE	FALSE
Nkx2-2os	chr2	TRUE	TRUE
AU040320	chr4	TRUE	FALSE
Dthd1	chr5	FALSE	FALSE
Pcdha4b	chr18	FALSE	FALSE
A530072M11Rik	chr4	FALSE	FALSE
Slc44a1	chr4	FALSE	FALSE
Gm13483	chr2	FALSE	FALSE
Gm19299	chr9	FALSE	FALSE
Gm19303	chr15	FALSE	FALSE
Epg5	chr18	FALSE	FALSE
Gm19466	chr18	FALSE	FALSE
Gm19519	chr18	FALSE	TRUE
Klhl3	chr13	FALSE	FALSE
B230303A05Rik	chr13	FALSE	FALSE
Gm19585	chr17	FALSE	FALSE
Gm16675	chr8	FALSE	FALSE
Gm11351	chr13	FALSE	FALSE
Gm19782	chr15	FALSE	FALSE
Gm16630	chr6	FALSE	FALSE
Ccdc149	chr5	FALSE	FALSE
Gm20098	chr17	FALSE	FALSE
Efcab8	chr2	FALSE	FALSE
Ccdc170	chr10	FALSE	FALSE
Gm20125	chr10	FALSE	FALSE
Gm20139	chr10	FALSE	FALSE
Gm16677	chr14	FALSE	FALSE
Iqschfp	chr3	TRUE	TRUE
Rell1	chr5	FALSE	TRUE
