gene_name	chr	is_neuronal	stratum_top_quartile
Zglp1	chr9	FALSE	FALSE
Cstdc5	chr16	FALSE	FALSE
Gm15772	chr11	FALSE	FALSE
Prr35	chr17	FALSE	TRUE
Gata5os	chr2	FALSE	TRUE
Gm11696	chr11	FALSE	FALSE
Niban3	chr8	FALSE	TRUE
D030047H15Rik	chr7	FALSE	FALSE
Gm10532	chr18	FALSE	TRUE
Gm10857	chr2	FALSE	FALSE
Gm10433	chr12	FALSE	FALSE
Platr8	chr2	FALSE	FALSE
Gm15441	chr3	FALSE	TRUE
Gm10787	chr10	FALSE	FALSE
Gm13582	chr2	FALSE	FALSE
Gm10782	chr13	FALSE	FALSE
Gm10578	chr7	FALSE	TRUE
Gm10445	chr6	FALSE	TRUE
F420014N23Rik	chr10	FALSE	FALSE
Gm16287	chr4	FALSE	FALSE
Gm10636	chr3	FALSE	FALSE
Gm10389	chr15	FALSE	FALSE
Gm10791	chr16	FALSE	FALSE
Gm10466	chr11	FALSE	FALSE
F630042J09Rik	chr13	FALSE	FALSE
Myocos	chr1	FALSE	TRUE
Gm10421	chr12	FALSE	TRUE
Gm15401	chr6	FALSE	FALSE
Gm11681	chr11	FALSE	FALSE
Gm10845	chr14	FALSE	FALSE
Btnl1	chr17	FALSE	FALSE
Ceacam-ps1	chr7	FALSE	FALSE
Gm1979	chr5	FALSE	TRUE
Speer4a2	chr5	FALSE	TRUE
Gm2061	chr1	FALSE	TRUE
Tcf24	chr1	FALSE	TRUE
5031434O11Rik	chr3	FALSE	TRUE
1700049E15Rik	chr6	FALSE	FALSE
Tgtp2	chr11	FALSE	FALSE
Gm2491	chr15	FALSE	FALSE
Tmem35b	chr4	FALSE	FALSE
Gm15501	chr7	FALSE	FALSE
Gm2721	chr12	FALSE	FALSE
Gm12408	chr4	FALSE	TRUE
Dynlt1c	chr17	TRUE	FALSE
Kcnj13	chr1	FALSE	FALSE
Tceal7	chrX	FALSE	FALSE
Gm3086	chr12	FALSE	FALSE
Gm3636	chr14	FALSE	FALSE
Gm11978	chr11	FALSE	FALSE
Gm3279	chr6	FALSE	FALSE
Ccdc201	chr11	FALSE	FALSE
Ppp1r36dn	chr12	FALSE	FALSE
1700049E17Rik2	chr14	FALSE	FALSE
Gm13446	chr2	FALSE	TRUE
Gsta13	chr9	FALSE	FALSE
Gm10375	chr14	FALSE	FALSE
Mir22hg	chr11	FALSE	FALSE
Sprr2a3	chr3	FALSE	FALSE
Gm3942	chr10	FALSE	FALSE
Apol7d	chr1	FALSE	FALSE
Cd300ld4	chr11	FALSE	FALSE
Cd300ld5	chr11	FALSE	FALSE
Gm4278	chr14	FALSE	FALSE
Gm10046	chr7	FALSE	FALSE
Ankrd66	chr17	FALSE	FALSE
Nat8f7	chr6	FALSE	TRUE
Gm4489	chr10	FALSE	FALSE
Gm14207	chr2	FALSE	TRUE
Gm4566	chr17	FALSE	FALSE
Amy2a4	chr3	FALSE	FALSE
Amy2a3	chr3	FALSE	FALSE
Amy2a2	chr3	FALSE	FALSE
Gm4651	chr6	FALSE	TRUE
Gm4668	chr9	FALSE	FALSE
R3hdml	chr2	FALSE	FALSE
Gm4719	chr17	FALSE	FALSE
Gm16894	chr1	FALSE	FALSE
Gm13032	chr4	FALSE	FALSE
Zbtb48	chr4	FALSE	FALSE
Adat3	chr10	FALSE	FALSE
Mir467a-5	chr2	TRUE	FALSE
6820426E19Rik	chr6	FALSE	FALSE
Gm11747	chr11	FALSE	TRUE
Krt83	chr15	FALSE	TRUE
Gm13031	chr4	FALSE	FALSE
Gm13262	chr2	FALSE	FALSE
B020018J22Rik	chr12	FALSE	TRUE
Gm10575	chr7	FALSE	TRUE
Gm11532	chr11	FALSE	TRUE
Gpr153	chr4	FALSE	TRUE
4933428G20Rik	chr11	FALSE	FALSE
Gm44504	chrX	FALSE	FALSE
Adprs	chr4	FALSE	FALSE
Gpn2	chr4	FALSE	FALSE
Btbd18	chr2	FALSE	FALSE
Scpppq1	chr5	FALSE	FALSE
Uckl1os	chr2	FALSE	TRUE
Gm16325	chr3	FALSE	FALSE
