gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	n_ch_sites	total_coverage	meth_reads
Xkr4	ENSMUSG00000051951.5	chr1	3205900	3671498	-	protein_coding	465598	171318	3233314	59764
Rp1	ENSMUSG00000025900.13	chr1	3999556	4409241	-	protein_coding	409685	149847	2742010	32787
Sox17	ENSMUSG00000025902.13	chr1	4490930	4497354	-	protein_coding	6424	2684	38578	568
Mrpl15	ENSMUSG00000033845.13	chr1	4773205	4785739	-	protein_coding	12534	4993	96684	1472
Lypla1	ENSMUSG00000025903.14	chr1	4807787	4848410	+	protein_coding	40623	15710	294454	4161
Gm37988	ENSMUSG00000104217.1	chr1	4807891	4886770	+	protein_coding	78879	30213	568258	7923
Tcea1	ENSMUSG00000033813.15	chr1	4857813	4897909	+	protein_coding	40096	14639	272611	3583
Rgs20	ENSMUSG00000002459.17	chr1	4909575	5070285	-	protein_coding	160710	62216	1118293	16950
Atp6v1h	ENSMUSG00000033793.12	chr1	5070017	5162529	+	protein_coding	92512	33390	621634	8417
Oprk1	ENSMUSG00000025905.14	chr1	5588465	5606131	+	protein_coding	17666	6668	135031	1434
Npbwr1	ENSMUSG00000033774.4	chr1	5913706	5917398	-	protein_coding	3692	1543	25844	416
Rb1cc1	ENSMUSG00000025907.14	chr1	6206196	6276648	+	protein_coding	70452	25357	496924	6878
Alkal1	ENSMUSG00000087247.3	chr1	6359217	6394731	+	protein_coding	35514	13922	259089	5195
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	+	protein_coding	373710	138331	2590833	50231
Pcmtd1	ENSMUSG00000051285.17	chr1	7088919	7173628	+	protein_coding	84709	31534	642500	10200
Sntg1	ENSMUSG00000025909.16	chr1	8361474	9299878	-	protein_coding	938404	331820	5925765	76184
Rrs1	ENSMUSG00000061024.8	chr1	9545407	9547455	+	protein_coding	2048	887	16253	260
Adhfe1	ENSMUSG00000025911.14	chr1	9547947	9580673	+	protein_coding	32726	13296	263416	3494
Vxn	ENSMUSG00000067879.3	chr1	9601198	9627143	+	protein_coding	25945	11035	208783	6565
Mybl1	ENSMUSG00000025912.16	chr1	9667414	9700209	-	protein_coding	32795	11141	224170	4389
Vcpip1	ENSMUSG00000045210.8	chr1	9718621	9748382	-	protein_coding	29761	10291	198435	2727
Sgk3	ENSMUSG00000025915.14	chr1	9798106	9900845	+	protein_coding	102739	40730	764367	12761
Mcmdc2	ENSMUSG00000046101.16	chr1	9908637	9942085	+	protein_coding	33448	12844	254665	3242
Tcf24	ENSMUSG00000099032.2	chr1	9960162	9967932	-	protein_coding	7770	2902	59647	1001
Ppp1r42	ENSMUSG00000025916.10	chr1	9968623	10009136	-	protein_coding	40513	16061	299174	4419
Cops5	ENSMUSG00000025917.9	chr1	10024600	10038168	-	protein_coding	13568	5211	109814	938
Cspp1	ENSMUSG00000056763.16	chr1	10037986	10136768	+	protein_coding	98782	37607	708349	9024
Arfgef1	ENSMUSG00000067851.11	chr1	10137570	10232670	-	protein_coding	95100	35207	712862	8621
Cpa6	ENSMUSG00000042501.12	chr1	10324719	10719945	-	protein_coding	395226	150275	2714289	35893
Prex2	ENSMUSG00000048960.13	chr1	10993464	11303681	+	protein_coding	310217	114689	2227663	40365
A830018L16Rik	ENSMUSG00000057715.13	chr1	11414104	11975901	+	protein_coding	561797	197637	3596201	52365
Sulf1	ENSMUSG00000016918.15	chr1	12692276	12861192	+	protein_coding	168916	69629	1322970	21992
Slco5a1	ENSMUSG00000025938.16	chr1	12866548	12992650	-	protein_coding	126102	50594	952581	14482
Prdm14	ENSMUSG00000042414.7	chr1	13113456	13127163	-	protein_coding	13707	5865	109142	1820
Ncoa2	ENSMUSG00000005886.14	chr1	13139104	13374083	-	protein_coding	234979	95423	1923539	33057
Tram1	ENSMUSG00000025935.10	chr1	13564697	13589910	-	protein_coding	25213	10410	201686	2620
Lactb2	ENSMUSG00000025937.6	chr1	13623329	13660546	-	protein_coding	37217	15124	290495	4769
Xkr9	ENSMUSG00000067813.3	chr1	13668770	13701723	+	protein_coding	32953	12661	227344	3542
Eya1	ENSMUSG00000025932.14	chr1	14168953	14310235	-	protein_coding	141282	55301	1115866	32628
Msc	ENSMUSG00000025930.6	chr1	14753345	14755992	-	protein_coding	2647	1233	18625	357
Trpa1	ENSMUSG00000032769.5	chr1	14872647	14918862	-	protein_coding	46215	17165	355536	4365
Kcnb2	ENSMUSG00000092083.4	chr1	15287253	15723750	+	protein_coding	436497	167510	3303173	99486
Terf1	ENSMUSG00000025925.14	chr1	15805645	15844052	+	protein_coding	38407	14269	277462	3513
Sbspon	ENSMUSG00000032719.4	chr1	15853861	15892722	-	protein_coding	38861	15400	275302	4695
4930444P10Rik	ENSMUSG00000067795.13	chr1	16065978	16093325	-	protein_coding	27347	9948	175617	2675
Rpl7	ENSMUSG00000043716.13	chr1	16101294	16104662	-	protein_coding	3368	1363	27256	206
Rdh10	ENSMUSG00000025921.7	chr1	16105773	16133734	+	protein_coding	27961	11431	236093	4845
Stau2	ENSMUSG00000025920.19	chr1	16228673	16520112	-	protein_coding	291439	112646	2094011	33561
Ube2w	ENSMUSG00000025939.19	chr1	16540789	16619489	-	protein_coding	78700	30626	577570	7958
Eloc	ENSMUSG00000079658.9	chr1	16641724	16657042	-	protein_coding	15318	6002	121131	1553
Tmem70	ENSMUSG00000025940.6	chr1	16665206	16678275	+	protein_coding	13069	5155	94571	1082
Ly96	ENSMUSG00000025779.10	chr1	16688050	16709611	+	protein_coding	21561	8783	162558	2570
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	-	protein_coding	133330	51657	959857	17564
Gdap1	ENSMUSG00000025777.8	chr1	17145361	17164271	+	protein_coding	18910	7097	137828	2703
Pi15	ENSMUSG00000067780.3	chr1	17601900	17630939	+	protein_coding	29039	10353	207811	2794
Crispld1	ENSMUSG00000025776.13	chr1	17727044	17766344	+	protein_coding	39300	14205	274270	3789
Crisp4	ENSMUSG00000025774.14	chr1	18115190	18145902	-	protein_coding	30712	10747	216002	2811
Defb18	ENSMUSG00000073735.1	chr1	18236472	18237443	-	protein_coding	971	306	6504	75
Defb41	ENSMUSG00000067773.6	chr1	18250979	18265138	-	protein_coding	14159	4577	80515	1053
Tfap2d	ENSMUSG00000042596.7	chr1	19103021	19166346	+	protein_coding	63325	21614	394904	5131
Tfap2b	ENSMUSG00000025927.13	chr1	19208913	19238576	+	protein_coding	29663	11839	177332	2561
Pkhd1	ENSMUSG00000043760.16	chr1	20057778	20618064	-	protein_coding	560286	199611	3685945	49307
Il17a	ENSMUSG00000025929.4	chr1	20730904	20734496	+	protein_coding	3592	1333	25821	227
Il17f	ENSMUSG00000041872.9	chr1	20777145	20790617	-	protein_coding	13472	5331	99453	1375
Mcm3	ENSMUSG00000041859.10	chr1	20802967	20820312	-	protein_coding	17345	7505	145181	1422
Paqr8	ENSMUSG00000025931.15	chr1	20890605	20939650	+	protein_coding	49045	20440	372722	7926
Efhc1	ENSMUSG00000041809.5	chr1	20951625	20990841	+	protein_coding	39216	15657	301273	6022
Tram2	ENSMUSG00000041779.5	chr1	20996298	21079229	-	protein_coding	82931	36846	678549	16444
Tmem14a	ENSMUSG00000025933.15	chr1	21218574	21230167	+	protein_coding	11593	4951	94287	2095
Gsta3	ENSMUSG00000025934.15	chr1	21240588	21265661	+	protein_coding	25073	10252	192575	3026
Khdc1a	ENSMUSG00000067750.3	chr1	21349640	21352200	+	protein_coding	2560	1055	13913	258
Khdc1c	ENSMUSG00000041722.7	chr1	21368330	21370845	+	protein_coding	2515	995	13338	146
Khdc1b	ENSMUSG00000085079.3	chr1	21383555	21386373	+	protein_coding	2818	1214	19387	391
Kcnq5	ENSMUSG00000028033.16	chr1	21398402	21961942	-	protein_coding	563540	208333	4032224	78324
Rims1	ENSMUSG00000041670.17	chr1	22286250	22805994	-	protein_coding	519744	178770	3504152	59611
Ppp1r14bl	ENSMUSG00000073730.2	chr1	23100472	23102253	-	protein_coding	1781	755	16326	355
Ogfrl1	ENSMUSG00000026158.11	chr1	23366423	23397772	-	protein_coding	31349	12405	236979	3703
B3gat2	ENSMUSG00000026156.8	chr1	23761752	23849158	+	protein_coding	87406	34809	644698	14126
Smap1	ENSMUSG00000026155.13	chr1	23844845	23922317	-	protein_coding	77472	27062	532155	7778
Sdhaf4	ENSMUSG00000026154.4	chr1	23995938	24005656	-	protein_coding	9718	4071	76263	1302
Fam135a	ENSMUSG00000026153.15	chr1	24011092	24100341	-	protein_coding	89249	30461	616736	10781
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	+	protein_coding	75075	29344	585255	15583
Col19a1	ENSMUSG00000026141.13	chr1	24261889	24587472	-	protein_coding	325583	119812	2346915	60247
Lmbrd1	ENSMUSG00000073725.8	chr1	24678629	24766301	+	protein_coding	87672	32296	657828	9091
Adgrb3	ENSMUSG00000033569.17	chr1	25067475	25829707	-	protein_coding	762232	265244	5244889	98935
4931408C20Rik	ENSMUSG00000073722.3	chr1	26681813	26687460	-	protein_coding	5647	2542	109464	1924
Gm597	ENSMUSG00000048411.4	chr1	28776116	28780252	-	protein_coding	4136	1814	32319	300
