bin	ew_ctrl	ew_ctrl_se	ew_mut	ew_mut_se	ew_delta	pooled_ctrl	pooled_mut	pooled_delta	mut_shift_pp	ctrl_shift_pp	delta_shift_pp
1	0.0186842001027444	0.000787743554251655	0.0194487261971506	0.00170363085162248	0.000764526094406203	0.021156035121304	0.0225939783849901	0.00143794326368609	0.314525218783951	0.247183501855962	0.0673417169279891
2	0.0185248884027781	0.000811891120373668	0.0192766753285236	0.00159797280002732	0.000751786925745526	0.0210905050745455	0.0224429663856392	0.00135246131109372	0.316629105711565	0.256561667176746	0.0600674385348197
3	0.0184338737938976	0.000817484175396038	0.0191319297053844	0.00156538663520741	0.000698055911486768	0.0209074245444032	0.0221801352552643	0.0012727107108611	0.304820554987993	0.24735507505056	0.0574654799374331
4	0.0183883690067043	0.000835812744680125	0.0189918294901044	0.001550098815027	0.000603460483400053	0.0208147392921053	0.0219841986089435	0.00116945931683819	0.299236911883918	0.242637028540105	0.0565998833438133
5	0.0183219668700055	0.000835321854119534	0.0189204978527292	0.00154349410503673	0.000598530982723638	0.0207407435440031	0.0218578779420479	0.00111713439804483	0.293738008931878	0.241877667399758	0.0518603415321194
6	0.01826550748081	0.000823540928680827	0.0188401560741098	0.00154587199989992	0.000574648593299802	0.0207149395249764	0.021773793990463	0.00105885446548667	0.293363791635321	0.244943204416634	0.0484205872186873
7	0.0182371688746358	0.000812757188445587	0.0187750124728647	0.00154925600820698	0.000537843598228904	0.0206981382371842	0.0217499210075066	0.00105178277032239	0.297490853464188	0.24609693625484	0.0513939172093483
8	0.0181741820704182	0.000824913373325318	0.0187178581953858	0.00155028536058555	0.000543676124967547	0.0206116808731087	0.0216999666934063	0.00108828582029763	0.298210849802053	0.243749880269045	0.0544609695330083
9	0.0181330960026957	0.000826008521363676	0.0186582119968556	0.00155144164483657	0.0005251159941599	0.0205662272872267	0.0216048774514561	0.00103865016422936	0.294666545460047	0.2433131284531	0.0513534170069465
10	0.0181178676856262	0.000817724362404049	0.0186171559957363	0.00155354311367458	0.000499288310110112	0.0206370767160432	0.0216275297754491	0.000990453059405885	0.301037377971278	0.251920903041701	0.0491164749295774
11	0.0180870928084245	0.000837363917804894	0.0185748329871173	0.00156051548994684	0.000487740178692804	0.0206657603167734	0.0216629774223906	0.000997217105617169	0.308814443527328	0.257866750834891	0.0509476926924365
12	0.0180528547758183	0.000856281090856509	0.0185249824849367	0.00156009782722601	0.000472127709118458	0.0206734555826029	0.0216234432929859	0.000949987710383023	0.309846080804917	0.26206008067846	0.0477860001264565
13	0.0180117915136756	0.000849536790490302	0.0184521906685303	0.00155468745201827	0.000440399154854689	0.0206650085556773	0.0215849616229828	0.000919953067305496	0.313277095445247	0.265321704200166	0.0479553912450807
14	0.0179855500191786	0.000851941022183782	0.0184414882791799	0.0015440322671322	0.000455938260001294	0.020649993140986	0.0215904096480172	0.000940416507031167	0.314892136883731	0.266444312180744	0.0484478247029872
15	0.0179296866583439	0.000833266953623658	0.0183878331684801	0.00155210542421413	0.000458146510136134	0.0206421343926024	0.0215754761364732	0.000933341743870813	0.318764296799312	0.271244773425845	0.0475195233734679
16	0.0178858762108631	0.000842875029630634	0.0183014939964844	0.00155147836068724	0.000415617785621235	0.02057848338655	0.021456826699433	0.00087834331288298	0.315533270294859	0.269260717568684	0.0462725527261745
17	0.0178694873108357	0.000846916570327427	0.0182755880595892	0.00155552097811283	0.000406100748753486	0.0204113177736239	0.0213189211722503	0.000907603398626382	0.304333311266116	0.254183046278826	0.0501502649872896
18	0.0178321559886961	0.000847373104949911	0.0182421604094364	0.00155737159887328	0.000410004420740313	0.0204594059774691	0.0213466951869588	0.000887289209489727	0.31045347775224	0.262724998877298	0.0477284788749414
