bin	corr_ctrl	corr_ctrl_se	corr_mut	corr_mut_se	corr_delta	ew_ctrl	ew_ctrl_se	ew_mut	ew_mut_se	ew_delta
1	0.00924400975689361	0.000203035476865562	0.00758592691014405	0.000296688141870021	-0.00165808284674956	0.0186842001027444	0.000787743554251655	0.0194487261971506	0.00170363085162248	0.000764526094406203
2	0.00863372339008743	0.000190386343529734	0.00699378725752794	0.000348247621844492	-0.00163993613255949	0.0185248884027781	0.000811891120373668	0.0192766753285236	0.00159797280002732	0.000751786925745526
3	0.00837125794699951	0.000177405671725552	0.00671534576064282	0.000370825777856334	-0.00165591218635669	0.0184338737938976	0.000817484175396038	0.0191319297053844	0.00156538663520741	0.000698055911486768
4	0.00823735540518844	0.000188502541089883	0.00650629614181958	0.000380721519736779	-0.00173105926336886	0.0183883690067043	0.000835812744680125	0.0189918294901044	0.001550098815027	0.000603460483400053
5	0.0081153273977144	0.000189332322119716	0.00639363501647554	0.000386590788743742	-0.00172169238123885	0.0183219668700055	0.000835321854119534	0.0189204978527292	0.00154349410503673	0.000598530982723638
6	0.0080255151312224	0.000181651103639282	0.00629048067101204	0.00038083490279377	-0.00173503446021035	0.01826550748081	0.000823540928680827	0.0188401560741098	0.00154587199989992	0.000574648593299802
7	0.00796812440371295	0.000165300710041524	0.00620587814224027	0.00037916678207893	-0.00176224626147267	0.0182371688746358	0.000812757188445587	0.0187750124728647	0.00154925600820698	0.000537843598228904
8	0.00788914326210894	0.000174024663688238	0.00613451276201871	0.00038049542921105	-0.00175463050009023	0.0181741820704182	0.000824913373325318	0.0187178581953858	0.00155028536058555	0.000543676124967547
9	0.00783863698312652	0.000180865024335133	0.00607304547966917	0.000379558310469773	-0.00176559150345735	0.0181330960026957	0.000826008521363676	0.0186582119968556	0.00155144164483657	0.0005251159941599
10	0.0078176851941015	0.000180032691316678	0.00603141579309879	0.00037788565347079	-0.00178626940100271	0.0181178676856262	0.000817724362404049	0.0186171559957363	0.00155354311367458	0.000499288310110112
11	0.00778178867814444	0.000186466292955879	0.00599214650433261	0.000368114156621286	-0.00178964217381183	0.0180870928084245	0.000837363917804894	0.0185748329871173	0.00156051548994684	0.000487740178692804
12	0.00774193698435185	0.000206411168447887	0.00594427929914467	0.000366618366254459	-0.00179765768520718	0.0180528547758183	0.000856281090856509	0.0185249824849367	0.00156009782722601	0.000472127709118458
13	0.00769985424894552	0.000207193509807736	0.00587715060943338	0.000369231295087982	-0.00182270363951214	0.0180117915136756	0.000849536790490302	0.0184521906685303	0.00155468745201827	0.000440399154854689
14	0.00767163952394168	0.000216688694716239	0.00586391466505562	0.000378267241656141	-0.00180772485888606	0.0179855500191786	0.000851941022183782	0.0184414882791799	0.0015440322671322	0.000455938260001294
15	0.00761042216035999	0.000188112149922031	0.00580833984151055	0.000372430173580818	-0.00180208231884945	0.0179296866583439	0.000833266953623658	0.0183878331684801	0.00155210542421413	0.000458146510136134
16	0.00756362834082391	0.000188024903852161	0.00572991909703295	0.000370846431089266	-0.00183370924379096	0.0178858762108631	0.000842875029630634	0.0183014939964844	0.00155147836068724	0.000415617785621235
17	0.00754808513134917	0.000202242844698296	0.00571327312010296	0.000367659695340462	-0.00183481201124621	0.0178694873108357	0.000846916570327427	0.0182755880595892	0.00155552097811283	0.000406100748753486
18	0.00751265792055307	0.000203253058847905	0.00568307833231763	0.000361001856787875	-0.00182957958823544	0.0178321559886961	0.000847373104949911	0.0182421604094364	0.00155737159887328	0.000410004420740313
19	0.00746607546211774	0.000198632624427211	0.00564585192465439	0.000364825079484783	-0.00182022353746334	0.0177797118330475	0.000841103005942793	0.0181943180841242	0.00155011309086792	0.000414606251076616
20	0.00745741511016746	0.000200483125796472	0.00562632496173744	0.000367342351153399	-0.00183109014843002	0.0177722402119145	0.000838839243147222	0.0181723633516162	0.00154767614327107	0.000400123139701693
21	0.00744707401293885	0.000201165828448313	0.00559572599446396	0.000366398228557466	-0.00185134801847489	0.0177579366407245	0.000831369984602688	0.0181311613235777	0.0015441430437325	0.000373224682853231
22	0.00743169226857712	0.00019820740100642	0.005564274459421	0.000377473533450466	-0.00186741780915612	0.0177444411110513	0.000833419997058671	0.018082313833915	0.00152975135387355	0.000337872722863723
23	0.00742976485570268	0.000208207705017341	0.00551482262976385	0.000373018148033008	-0.00191494222593883	0.0177370864830601	0.000852157478187956	0.0180251915512831	0.0015332035981957	0.00028810506822298
24	0.0074197167445772	0.000209612487900038	0.00549323562565313	0.00036334478039899	-0.00192648111892408	0.017720543886583	0.00084992215963179	0.0179925305822821	0.00153974468043584	0.00027198669569917
25	0.00740520311158879	0.000229800530536384	0.00548707022609599	0.0003531119036785	-0.0019181328854928	0.017704093911506	0.000874031811827398	0.0179700318738479	0.00154827288964983	0.000265937962341849
26	0.00736546629191182	0.000223681585056449	0.00548046870051987	0.000359608334645253	-0.00188499759139195	0.0176648576698293	0.000875842043672461	0.0179693704509801	0.0015472409388515	0.000304512781150779
27	0.00733981038165553	0.000226269161063057	0.00545137463863767	0.000349902065472249	-0.00188843574301786	0.0176314945553822	0.00087748255903672	0.0179362442281216	0.00155308108229626	0.000304749672739413
28	0.00728078028678156	0.000230546335764408	0.00540834725629403	0.000360924442278991	-0.00187243303048753	0.0175659278401716	0.000887483033894428	0.0178745689218986	0.00153670548909453	0.000308641081726933
29	0.00724865710200272	0.000209473486247436	0.0053632685026105	0.000357270472873398	-0.00188538859939222	0.0175304384350859	0.000864517665500443	0.0178130047793137	0.00153636704455358	0.000282566344227818
30	0.00720024265053499	0.000220819242826558	0.00532328985555101	0.000346507549843638	-0.00187695279498397	0.0174705572034162	0.000863384652429074	0.0177543429283252	0.00154065650660319	0.000283785724908989
31	0.00717777921085878	0.000208831515874738	0.00530892683043318	0.000355924856803454	-0.0018688523804256	0.0174370159043087	0.000844121077401655	0.0177275343418929	0.001528586219709	0.000290518437584195
32	0.0071651498374065	0.000208043412855247	0.00529327802167179	0.00036069021815688	-0.00187187181573472	0.0174216828412152	0.000840430795793211	0.017707876769569	0.00152623612553828	0.000286193928353856
33	0.00715789272197289	0.000207257868759382	0.0052692417156943	0.000364939449610783	-0.00188865100627858	0.0174095065526039	0.000839008337659321	0.0176842864813001	0.00152361794206704	0.00027477992869613
34	0.00713743930827973	0.000200688886426054	0.00524450046430592	0.000361232792273285	-0.00189293884397381	0.0173764495065832	0.00084225508259325	0.0176454273942169	0.00152339972291062	0.000268977887633717
35	0.00711532350315826	0.00020664169644377	0.00521581514920038	0.000355285193486727	-0.00189950835395788	0.017342210939988	0.000843699838097935	0.0176004634638841	0.00152695960922705	0.000258252523896114
36	0.00714673876824577	0.000206077327321406	0.00524671374441535	0.000346878341473458	-0.00190002502383041	0.0173603467896651	0.000831489743116664	0.0176131387428654	0.00153677656247317	0.000252791953200274
37	0.00712707340915614	0.000195103324587276	0.00521485714277373	0.000346183159640811	-0.00191221626638241	0.017337125522971	0.000828713485615296	0.0175654468689338	0.00153976531717298	0.000228321345962821
38	0.00710602397927262	0.000196030083849855	0.00519541784553407	0.000352046060809931	-0.00191060613373855	0.0173112601277152	0.00083581533317826	0.0175305862740695	0.00152922799563949	0.000219326146354292
39	0.00713238441849881	0.000198614775176427	0.00520699733626647	0.00036228751182314	-0.00192538708223234	0.0173316591742305	0.000844597617431254	0.0175311270984847	0.00151616493048765	0.000199467924254248
40	0.00708640425427543	0.000202811103233667	0.00516254885924779	0.000360388484327492	-0.00192385539502764	0.0172726018069142	0.000841326640239924	0.0174801883843355	0.0015179994009705	0.00020758657742128
41	0.0070498447185555	0.00021786051230314	0.00512926751504117	0.000360616769222413	-0.00192057720351433	0.0172292952780099	0.000852199503493246	0.0174388428901797	0.0015164304852951	0.000209547612169837
42	0.00702070881240099	0.000222070218160593	0.00512345460286165	0.000355687538467667	-0.00189725420953934	0.0171942687417114	0.000855767846615329	0.017417902570946	0.00152354321275926	0.000223633829234689
43	0.00697526261386598	0.000221478397064476	0.00509441618914547	0.000357387724279079	-0.00188084642472051	0.0171357814919772	0.000853826033664656	0.0173678181942799	0.00151191958961324	0.000232036702302787
44	0.00692577341408381	0.000208415942746572	0.00506284824377838	0.000363773416482232	-0.00186292517030543	0.0170706906079793	0.000847252068171355	0.0173184284725981	0.00150029932141401	0.000247737864618767
45	0.00690353503424206	0.000209246794139614	0.0050839732073998	0.000359701641409207	-0.00181956182684226	0.017033798395482	0.000834435977088528	0.0173251927134716	0.00150741397661121	0.000291394317989604
46	0.0068977250640778	0.000220688966585428	0.00506180900891397	0.000368499443375643	-0.00183591605516384	0.0170101860601906	0.000854837130340046	0.0172838740703417	0.00149430323347842	0.000273688010151079
47	0.00689815389357307	0.000211440036611635	0.00506536468730297	0.000364270868797855	-0.00183278920627011	0.0169794201995924	0.000831158115161085	0.0172643752058732	0.00149714888733376	0.000284955006280799
48	0.00685810592728227	0.000213556764385932	0.00503967285824223	0.000367019798000972	-0.00181843306904004	0.0169054381706214	0.00083125556774816	0.0172007687853142	0.00149545314706374	0.000295330614692762
49	0.00688576178191159	0.000223978818435686	0.0050454017281651	0.000361979728800597	-0.00184036005374649	0.0168615505802094	0.000840201017510619	0.0171302823347317	0.00149471445556676	0.000268731754522279
50	0.00686411394870947	0.000226353645999796	0.00509611572326562	0.000361295607801454	-0.00176799822544384	0.0166695529990354	0.000825398956088099	0.0169908043417645	0.00148300339978241	0.000321251342729062
