gene_name	gene_id	ctrl_M1	ctrl_M2	ctrl_F1	ctrl_F2	mut_M1	mut_M2	mut_F1	mut_F2
Xkr4	ENSMUSG00000051951.5	0.0252411488678163	0.0224105059135319	0.0222622195708583	0.0230077658789375	0.021092721252775	0.0248371405114819	0.0221881113453502	0.0252173845925588
Rp1	ENSMUSG00000025900.13	0.0126381198099583	0.00864804330243265	0.00955373315338326	0.00953216036122961	0.00793585073766411	0.0115047081375998	0.00994847751153433	0.0118537435031887
Sox17	ENSMUSG00000025902.13	0.0196413321947054	0.00997578692493947	0.0075103591160221	0.0130718954248366	0.0129775747508306	0.0121598147075854	0.0105363587339777	0.0109009596571322
Mrpl15	ENSMUSG00000033845.13	0.012370361114582	0.0139388763496614	0.00864701436130008	0.0134051173287653	0.00664360405692271	0.0150282531158578	0.00979995644463802	0.0118256925319942
Lypla1	ENSMUSG00000025903.14	0.0147478980163805	0.0149482664730441	0.012702572838859	0.0142270237370663	0.0106694298630168	0.0140139120371314	0.012866281930837	0.0150522280035992
Gm37988	ENSMUSG00000104217.1	0.0139465288952881	0.0133782312337809	0.0132078071182549	0.0136005789733813	0.0101758741237775	0.0141408421922031	0.0123478760182134	0.0154822735863956
Tcea1	ENSMUSG00000033813.15	0.0134930055745045	0.0126120313334879	0.0135075245197218	0.0119663170335352	0.0102410015649452	0.0130956306310321	0.0114702605135652	0.0157157060842234
Rgs20	ENSMUSG00000002459.17	0.0184601623778726	0.014933097487906	0.014201857893741	0.0155336511021642	0.0106827806005439	0.0151453851241203	0.013517253348531	0.0153195889614167
Atp6v1h	ENSMUSG00000033793.12	0.0141221398919497	0.0127871796290229	0.0125289316346003	0.0128113421367776	0.00960331905176409	0.0129865006666824	0.0109012139338494	0.014012157052927
Oprk1	ENSMUSG00000025905.14	0.0117070931211263	0.00706451738808009	0.0101869030440459	0.0100423579244617	0.00575453061925621	0.0123746311408025	0.00870935032954299	0.0124435566098591
Npbwr1	ENSMUSG00000033774.4	0.0170483460559796	0.0157248157248157	0.0112562387172136	0.0152589727057812	0.00791119050657139	0.0168510237702989	0.0130635653974829	0.0170585523282619
Rb1cc1	ENSMUSG00000025907.14	0.0143992504499766	0.0112735394679736	0.00942883992899655	0.0132412063992635	0.00935712339961863	0.012393952551237	0.0100383487480262	0.0129110042022217
Alkal1	ENSMUSG00000087247.3	0.0264801837519933	0.0297735650342285	0.0284945690792813	0.027108490655177	0.0186062334807526	0.0263075272142794	0.0239983760878942	0.0249057109062911
St18	ENSMUSG00000033740.17	0.0268976192053578	0.0229641537335445	0.023929674133218	0.0244747419257582	0.0350558877110914	0.0375681751486566	0.0345912782485876	0.0358406630152294
Pcmtd1	ENSMUSG00000051285.17	0.0207657730977751	0.0191992627483105	0.0199468911434146	0.0193546911975977	0.0138797551260459	0.0181473081752436	0.0157136138545384	0.0194557019284916
Sntg1	ENSMUSG00000025909.16	0.0134624798936989	0.00956595976027761	0.00902937886639122	0.0104833102294541	0.00842647493182255	0.0121003060801461	0.0100381984898924	0.0123833046525918
Rrs1	ENSMUSG00000061024.8	0.0148475120385233	0.0127566274666135	0.0087463556851312	0.0111553784860558	0.0122417750573833	0.02320581257414	0.0172773309502532	0.0221879220528651
Adhfe1	ENSMUSG00000025911.14	0.0199756265564563	0.0167892515357934	0.0143041492952154	0.0154832960484178	0.0125799080896511	0.0149592930764809	0.0147666952376656	0.0173746243998714
Vxn	ENSMUSG00000067879.3	0.0499100488306348	0.0507877483119679	0.0513224945401602	0.0500719143853148	0.0406357358503661	0.0476742007460272	0.0451830870559328	0.0451768374796229
Mybl1	ENSMUSG00000025912.16	0.0279803424223209	0.0232920668153475	0.0250454898415679	0.0256057629338572	0.0230467950778944	0.0284201506131784	0.024936765188065	0.0294533216873041
Vcpip1	ENSMUSG00000045210.8	0.0195672453414029	0.0128837043730661	0.0145536117304299	0.0140748923283149	0.0128481181599786	0.0163712797666948	0.0148400455094729	0.0164727334538655
Sgk3	ENSMUSG00000025915.14	0.0200321727353181	0.0168270698840714	0.0170873390630839	0.0187993629538142	0.0143821839710078	0.0185472539365934	0.0167096407505216	0.0192158240050216
Mcmdc2	ENSMUSG00000046101.16	0.0150449541422569	0.0123140659317782	0.010730616807235	0.0124604674574758	0.00923179248420353	0.0138362685096521	0.0100601561500064	0.0132590315142198
Tcf24	ENSMUSG00000099032.2	0.0191575996261932	0.0143431390462269	0.0176746523705813	0.0180191427382439	0.0101090867553829	0.0190658529775438	0.0154551034724658	0.0185688405797101
Ppp1r42	ENSMUSG00000025916.10	0.0153609449834975	0.0144152522669147	0.0156352283599376	0.0155103103689598	0.0114235879325567	0.016100805040252	0.0122914275718778	0.0182906370437543
Cops5	ENSMUSG00000025917.9	0.0162389806916735	0.00885824229746133	0.0104517620441187	0.00575948927902297	0.00935021896082377	0.0101891300917473	0.010799810222988	0.0142234889223489
Cspp1	ENSMUSG00000056763.16	0.0154526704298741	0.0116865752129365	0.0105253155767361	0.0123208980319151	0.010133789057812	0.0128233207217841	0.0101952120867288	0.0129550834922813
Arfgef1	ENSMUSG00000067851.11	0.0130276560743108	0.0109424585908483	0.0105877646031862	0.0107513950355975	0.00810723880879404	0.011462706667959	0.0102450817094119	0.0129482837454529
Cpa6	ENSMUSG00000042501.12	0.0151743853009765	0.0121044930629052	0.011890506044899	0.0124075461454456	0.0124362693389592	0.0151365845512644	0.0136534249307559	0.0152255629405426
Prex2	ENSMUSG00000048960.13	0.0256907888760239	0.0229309098664645	0.0221312623699021	0.0228019830080697	0.0267236192997233	0.0300606261583019	0.0280156985836957	0.0283568322238685
A830018L16Rik	ENSMUSG00000057715.13	0.0173798662226078	0.0132974344297339	0.0126901730987729	0.0145844879001399	0.0127793129878774	0.0162909261465168	0.0140310362322644	0.0163759877913345
Sulf1	ENSMUSG00000016918.15	0.0226571528536138	0.0217522321667943	0.021132519873074	0.0207582425829743	0.0188771163680788	0.0221586097580394	0.0214809251403415	0.0217763651613473
Slco5a1	ENSMUSG00000025938.16	0.0190939486241125	0.0176741832086825	0.0156778405944547	0.0167680203794745	0.016120660912725	0.0211914854247671	0.0185259102891065	0.0209434824914128
