"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant","label_strength"
"Slc13a1",3.51152438112175,1.26e-38,4,4,TRUE,1.55347909573709,9.81e-47,4,4,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",5.06500347685884
"Ercc8",3.29826266044635,1.82e-25,2,2,TRUE,1.70656514260183,3.51e-44,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",5.00482780304818
"Gm15421",3.03684766346779,9.13e-24,1,3,TRUE,1.66521248105821,9.98e-70,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.70206014452601
"Csmd3",3.00219285778102,2.14e-14,1,2,TRUE,1.532256747649,4.97e-27,6,6,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.53444960543003
"Gm16291",2.91338999564378,6.08e-25,7,7,TRUE,1.60726010973625,1.24e-44,8,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.52065010538003
"Fmo9",3.137006941,3.99e-24,1,1,TRUE,1.347669132,1.12e-12,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.484676073
"Gm5820",3.11989944721162,2.47e-28,3,3,TRUE,1.346705831,5.68e-08,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.46660527821162
"Gm17750",2.7661603654887,1.38e-22,3,3,TRUE,1.66164517903016,7.28e-90,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.42780554451886
"Hmcn1",2.92809236513757,3.66e-22,4,6,TRUE,1.49310284039095,9.72e-74,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.42119520552852
"2810049E08Rik",2.61397063468296,5.42e-19,2,4,TRUE,1.792296078,4.94e-40,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)",4.40626671268296
"Csmd2os",-1.20246244523313,1.35e-08,11,22,TRUE,-0.964557114336201,4.37e-16,8,11,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.16701955956933
"Papola",-1.417392485,0.000334452,1,1,TRUE,-0.649370622195554,3.63e-05,1,2,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.06676310719555
"Csrnp3",-1.79318471966611,7.28e-08,4,6,TRUE,-0.207193021129063,0.000436348,3,7,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",2.00037774079517
"Nos1",-1.51014868839481,2.22e-09,2,8,TRUE,-0.429377891131349,0.003300221,3,3,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.93952657952616
"Pcgf5",-1.20405488726822,2.91e-06,3,4,TRUE,-0.725029048722924,5.27e-08,2,2,TRUE,"Significant","Q3 (MeCP2 down / H2A down)",1.92908393599114
